matriz,n,nnzA,metodo,parametros,nnzFactor,construccion,resolucion,total,iteraciones,residuo,convergio
bcsstk17,10974,428650,SAINV,tau=0.2,56683,0.046076,0.130495,0.176572,1167,9.901905e-11,Si
bcsstk17,10974,428650,FSAI,q=1,219812,0.047825,0.077167,0.124992,609,9.901214e-11,Si
bcsstk17,10974,428650,AIB,tau=0.001;l=10,112930,0.036596,0.276633,0.313229,2481,9.923155e-11,Si
bcsstk18,11948,149090,SAINV,tau=0.2,62694,0.039781,0.056392,0.096173,505,9.967527e-11,Si
bcsstk18,11948,149090,FSAI,q=1,80519,0.017789,0.045995,0.063784,441,9.994056e-11,Si
bcsstk18,11948,149090,AIB,tau=0.01;l=10,89097,0.021563,0.054448,0.076010,524,9.527800e-11,Si
bcsstk25,15439,252241,SAINV,tau=0.2,156321,0.136516,0.455256,0.591771,3530,9.579867e-11,Si
bcsstk25,15439,252241,FSAI,q=1,133840,0.017675,0.426661,0.444336,3624,9.870196e-11,Si
bcsstk25,15439,252241,AIB,tau=0.1;l=40,220974,0.043787,0.601263,0.645050,4429,8.699596e-11,Si
bcsstk36,23052,1143140,SAINV,tau=0.2,308492,0.462834,15.706040,16.168874,65469,9.413588e-11,Si
bcsstk36,23052,1143140,FSAI,q=1,583096,0.115763,0.490087,0.605851,1398,9.772884e-11,Si
bcsstk36,23052,1143140,AIB,tau=0.001;l=5,138246,0.046227,24.065584,24.111811,129692,9.790238e-11,Si
vanbody,47072,2329056,SAINV,tau=0.2,574828,1.478724,6.303998,7.782722,8491,9.954390e-11,Si
vanbody,47072,2329056,FSAI,q=1,1188064,0.244774,4.178439,4.423213,4028,8.372314e-11,Si
vanbody,47072,2329056,AIB,tau=0.01;l=5,280851,0.095146,15.382165,15.477311,25703,9.963323e-11,Si
crankseg_1,52804,10614210,SAINV,tau=0.5,106919,0.375823,1.316467,1.692290,470,9.982356e-11,Si
crankseg_1,52804,10614210,FSAI,q=1,5333507,6.226251,1.147610,7.373861,203,8.952568e-11,Si
crankseg_1,52804,10614210,AIB,tau=0.1;l=5,299180,0.380102,42.740201,43.120304,14878,9.928239e-11,Si
oilpan,73752,2148558,SAINV,tau=0.5,92969,0.034952,2.324546,2.359499,4702,9.655114e-11,Si
oilpan,73752,2148558,FSAI,q=1,1111155,0.169751,1.416404,1.586155,1415,9.645955e-11,Si
oilpan,73752,2148558,AIB,tau=0.1;l=20,712973,0.151788,11.121217,11.273004,13665,9.648347e-11,Si
