matriz,n,nnzA,metodo,parametros,nnzFactor,construccion,resolucion,total,iteraciones,residuo,convergio
bcsstk17,10974,428650,SAINV,tau=0.2,56683,0.043951,0.128742,0.172693,1166,9.505568e-11,Si
bcsstk17,10974,428650,FSAI,q=1,219812,0.039302,0.080583,0.119885,610,9.400023e-11,Si
bcsstk17,10974,428650,AIB,tau=0.001;l=10,112930,0.039349,0.276597,0.315946,2472,9.629204e-11,Si
bcsstk18,11948,149090,SAINV,tau=0.2,62694,0.044681,0.055500,0.100182,506,9.295332e-11,Si
bcsstk18,11948,149090,FSAI,q=1,80519,0.011741,0.048280,0.060020,441,9.905786e-11,Si
bcsstk18,11948,149090,AIB,tau=0.001;l=10,97702,0.021084,0.053784,0.074867,538,9.662283e-11,Si
bcsstk25,15439,252241,SAINV,tau=0.2,156321,0.135465,0.456050,0.591515,3533,9.201141e-11,Si
bcsstk25,15439,252241,FSAI,q=2,548941,0.149306,0.204232,0.353537,1107,8.265548e-11,Si
bcsstk25,15439,252241,AIB,tau=0.1;l=40,220974,0.048000,0.605297,0.653297,4429,9.165885e-11,Si
bcsstk36,23052,1143140,SAINV,tau=0.2,308492,0.479399,17.059415,17.538814,64460,9.958633e-11,Si
bcsstk36,23052,1143140,FSAI,q=1,583096,0.115054,0.584901,0.699955,1399,9.922457e-11,Si
bcsstk36,23052,1143140,AIB,tau=0.001;l=5,138246,0.046539,25.631160,25.677699,129687,9.894107e-11,Si
vanbody,47072,2329056,SAINV,tau=0.2,574828,1.501913,7.408069,8.909982,8400,9.565493e-11,Si
vanbody,47072,2329056,FSAI,q=1,1188064,0.244591,5.006773,5.251364,4027,8.771721e-11,Si
vanbody,47072,2329056,AIB,tau=0.01;l=5,280851,0.097706,18.237548,18.335254,25748,9.854669e-11,Si
crankseg_1,52804,10614210,SAINV,tau=0.5,106919,0.395011,1.566995,1.962006,470,9.815177e-11,Si
