matriz,n,nnzA,nnzG,construccion,resolucion,total,iteraciones,residuo,convergio
bcsstk17,10974,428650,219812,0.040458,0.074108,0.114566,589,8.622232e-10,Si
bcsstk18,11948,149090,80519,0.010568,0.038195,0.048764,389,9.657200e-10,Si
bcsstk25,15439,252241,133840,0.017385,0.413506,0.430891,3532,8.901985e-10,Si
bcsstk36,23052,1143140,583096,0.120186,0.458468,0.578654,1286,9.726277e-10,Si
vanbody,47072,2329056,1188064,0.255740,3.014344,3.270084,2876,9.728882e-10,Si
crankseg_1,52804,10614210,5333507,6.339327,1.059072,7.398399,176,9.510057e-10,Si
oilpan,73752,2148558,1111155,0.181031,1.235032,1.416062,1180,9.896108e-10,Si
apache1,80800,542184,311492,0.021042,0.213758,0.234800,1004,9.725738e-10,Si
thermal1,82654,574458,328556,0.031022,0.229161,0.260183,676,9.992665e-10,Si
s3dkt3m2,90449,3686223,1888336,0.286165,6.710690,6.996855,3511,9.471859e-10,Si
G2_circuit,150102,726674,438388,0.028036,0.241576,0.269611,556,9.403253e-10,Si
hood,220542,9895422,5057982,1.074018,1.717417,2.791436,297,9.758151e-10,Si
parabolic_fem,525825,3674625,2100225,0.171637,5.145604,5.317241,1384,9.906961e-10,Si
Fault_639,638802,27245944,13942373,2.600820,33.555106,36.155926,1914,9.798428e-10,Si
apache2,715176,4817870,2766523,0.186753,11.150520,11.337273,2173,9.620412e-10,Si
tmt_sym,726713,5080961,2903837,0.217887,13.080406,13.298293,2462,9.955309e-10,Si
ecology2,999999,4995991,2997995,0.203940,23.505904,23.709844,3453,9.999634e-10,Si
thermal2,1228045,8580313,4904179,0.527346,25.917139,26.444485,2431,9.990179e-10,Si
StocF-1465,1465137,21005389,11235263,1.215663,229.974040,231.189702,12103,9.920390e-10,Si
G3_circuit,1585478,7660826,4623152,0.304133,8.810612,9.114745,744,9.726150e-10,Si
